[INFO ] [2013-12-29 02:22:39,557] [play-internal-execution-context-1] Application started (Dev)
[DEBUG] [2013-12-29 02:28:59,013] [casweb-akka.actor.default-dispatcher-7] [akka://casweb/user/timelinebuffer] new timeline (not requested) 
[DEBUG] [2013-12-29 02:29:33,221] [play-akka.actor.default-dispatcher-14] [std] NeedsSocket:Connect
[DEBUG] [2013-12-29 02:29:33,223] [casweb-akka.actor.default-dispatcher-9] [akka://casweb/user/needssocketbuffer] connected
[DEBUG] [2013-12-29 02:29:33,331] [casweb-akka.actor.default-dispatcher-11] [akka://casweb/user/needsbuffer] sender in publishing
[DEBUG] [2013-12-29 02:29:33,333] [casweb-akka.actor.default-dispatcher-11] [akka://casweb/user/needssocketbuffer] push
[DEBUG] [2013-12-29 02:29:33,341] [casweb-akka.actor.default-dispatcher-13] [akka://casweb/user/crevassessocketbuffer] connected
[DEBUG] [2013-12-29 02:29:33,351] [casweb-akka.actor.default-dispatcher-13] [akka://casweb/user/crevassesbuffer]  sender in publishing: Actor[akka://casweb/user/crevassessocketbuffer#377093617]
[DEBUG] [2013-12-29 02:29:33,352] [casweb-akka.actor.default-dispatcher-9] [akka://casweb/user/crevassessocketbuffer] push
[DEBUG] [2013-12-29 02:30:38,977] [play-akka.actor.default-dispatcher-10] [std] timelines: java.util.concurrent.TimeoutException: Futures timed out after [100 seconds]
[DEBUG] [2013-12-29 02:30:38,980] [play-akka.actor.default-dispatcher-3] [std] timelines: java.util.concurrent.TimeoutException: Futures timed out after [100 seconds]
